#--------------------------------------------------------------------------
#Freq     	Flux     Flux_err   theta1  theta2  Flag
# GHz     	mJy      mJy        arcsec  arcsec  0=data,1=UL,2=fake,4=LL
#--------------------------------------------------------------------------
225.0       1.2       0.07       0.3       0.3        0
145.0       1.44      0.05       0.3       0.3        0
97.5        1.45      0.07       0.3       0.3        0
22.0        3.78      0.1        0.55      0.55       1
22.0        1.41      0.1        0.3       0.3        4
14.9        2.6       0.3        0.7       0.7        0
8.49        5.6       0.6        1.2       1.2        0
4.89        13.0      1.3        1.9       1.9        0
1.45        51.0      6.0        7.2       7.2        0
