#--------------------------------------------------------------------------
#Freq     	Flux     Flux_err   theta1  theta2  Flag
# GHz     	mJy      mJy        arcsec  arcsec  0=data,1=UL,2=fake,4=LL
#--------------------------------------------------------------------------
1.4			40e-3   20e-3  	  60e-3      60e-3     0
4.8			19.4    0.3 	  60e-3      60e-3     0
5.3			19.1    0.3 	  60e-3      60e-3     0
6.3			12.6    0.2 	  60e-3      60e-3     0
6.8			18.4    0.2 	  60e-3      60e-3     0
7.3			16.8    0.2 	  60e-3      60e-3     0
9.5			12.3    0.1 	  60e-3      60e-3     0
10.5		12.2    0.1 	  60e-3      60e-3     0
10.5		12.2    0.1 	  60e-3      60e-3     0
11.5		10.2    0.1 	  60e-3      60e-3     0
15.0		17    	1.0 	  59e-3      59e-3     1
18.9		13.0    0.1 	  60e-3      60e-3     0
19.4		12.6    0.1 	  60e-3      60e-3     0
19.9		12.5    0.1 	  60e-3      60e-3     0
21.9		12.1    0.1 	  60e-3      60e-3     0
22.3		12.5    0.1 	  60e-3      60e-3     0
22.9		12.0    0.1 	  60e-3      60e-3     0
94			11      0.3 	  60e-3      60e-3     0
100			10.2    0.3 	  60e-3      60e-3     0
241			10.6    0.6 	  60e-3      60e-3     0
256			9.9     0.1 	  60e-3      60e-3     0
345			16.1    0.4 	  60e-3      60e-3     0
357			13.9    0.2 	  60e-3      60e-3     0
477			18.7    0.5 	  60e-3      60e-3     0
483			19.6    0.5 	  60e-3      60e-3     0
688			20.0    2.5 	  60e-3      60e-3     0
697			17.0    1.7 	  60e-3      60e-3     0
706			16.5    1.9 	  60e-3      60e-3     0
